FROM NAME,SUBJECT,SEND TIME,DAY
Pittsburgh Steelers,Join the NFL Extra Points Credit Card Program as We Salute our Soldiers,Oct 31 2017 3:01pm,Tuesday
SmartAsset,What You Should Look for in a Second Credit Card,Oct 30 2017 8:45pm,Monday
Williams Sonoma,The Williams Sonoma Credit Card—Enjoy 20% Off Today + DOUBLE REWARDS This Weekend!,Oct 27 2017 5:29pm,Friday
=?UTF-8?Q?PYMNTS=2Ecom?=,Alexa Goes Freemium | Uber Launches Credit Card | WU Uses Mastercard Send For Push Pay,Oct 26 2017 7:28am,Thursday
USATODAY.com,BREAKING: Senate votes to strike rule allowing consumers to collectively sue banks and credit card companies,Oct 24 2017 10:53pm,Tuesday
Grandin Road,Apply for a Grandin Road Credit Card & Exclusive Savings!,Oct 21 2017 1:31pm,Saturday
RewardsRUs,"Open an ""R""Us Credit Card Account on 10/21-10/22 and Save 25%💰!",Oct 20 2017 6:09pm,Friday
SmartAsset,How Can You Avoid Credit Card Fraud?,Oct 19 2017 8:45pm,Thursday
SmartAsset,Are You at Risk for Credit Card Fraud?,Oct 16 2017 8:45pm,Monday
Williams Sonoma,The NEW Williams Sonoma Credit Card - Enjoy 20% Off Today + Free Standard Shipping Every Day,Oct 10 2017 5:24pm,Tuesday
EnergyTin,Announcement: Credit Card Payment Method is Back Up,Oct 3 2017 2:31pm,Tuesday
SmartAsset,How to Apply for a Credit Card and Get Approved,Oct 2 2017 8:45pm,Monday
Walmart,Online Only: Open A Walmart Credit Card & Save $25 when you spend $25,Sep 30 2017 11:33am,Saturday
Kim Komando's Special Alert,"Data Breach! Millions of credit card numbers stolen from popular fast food chain - Wed., Sep. 27, 2017",Sep 27 2017 2:52pm,Wednesday
Delta Air Lines,"Conrad: The New, No-Annual Fee Blue Delta SkyMiles® Credit Card",Sep 19 2017 6:14am,Tuesday
Williams Sonoma,Discover Great Rewards & Benefits with the Williams Sonoma Credit Card,Sep 17 2017 5:38pm,Sunday
Moviola Online Learning,A full 6 months on us! No credit card required,Sep 15 2017 1:05pm,Friday
Priceline.com,"Attention! We're Informing You About a Credit Card From priceline.com® – Deals on Hotels, Airfare & More!",Sep 10 2017 2:46pm,Sunday
Pittsburgh Steelers,Kick off the 2017 NFL Season with the Steelers Extra Points Credit Card,Sep 4 2017 1:16pm,Monday
The BERNINA Connection,Do YOU have a BERNINA Credit Card?,Aug 29 2017 7:42pm,Tuesday
Williams Sonoma,The NEW Williams Sonoma Credit Card - Enjoy 20% Off Today + Free Standard Shipping Every Day,Aug 19 2017 5:29pm,Saturday
SmartAsset,How to Pay a Credit Card with Another Credit Card,Aug 16 2017 8:00pm,Wednesday
Dave Ramsey's Newsletter,Retirement Red Flags and Credit Card Lies,Aug 14 2017 9:17am,Monday
=?US-ASCII?Q?Business_Center_Blog?=,"FTC alleges ISO, sales agents laundered millions in credit card charges",Aug 8 2017 1:12pm,Tuesday
Debenhams,Up to 20% off with the Debenhams Credit Card,Aug 8 2017 1:20am,Tuesday
Refinery29 SF,"Why you should never, ever, get a store credit card",Aug 3 2017 6:17pm,Thursday
MLB.com Partners,Earn rewards all season with MLB™ credit card,Aug 1 2017 12:54pm,Tuesday
=?UTF-8?Q?PYMNTS=2Ecom?=,Google Shopper Tracking Under Scrutiny | Uber To Launch Barclays/Visa Credit Card | Messenger’s Yellow Pages Vision,Jul 31 2017 7:24am,Monday
Williams Sonoma,The NEW Williams Sonoma Credit Card - Enjoy 20% Off Today + Free Standard Shipping Every Day,Jul 25 2017 5:36pm,Tuesday
First Access Visa Card,Apply for A Genuine FIRST ACCESS Visa Credit Card,Jul 25 2017 1:03am,Tuesday
SmartAsset,How Do Credit Card Chargebacks Work?,Jul 24 2017 8:00pm,Monday
Cetaphil Skin Care Club Canada,Celebrate #Cetaphil70 — Win a $250 prepaid credit card!,Jul 24 2017 7:05pm,Monday
Walmart,Online Only: Open A Walmart Credit Card & Save $25 when you spend $25,Jul 22 2017 12:47pm,Saturday
SmartAsset,How Your Credit Card Limit Stacks Up,Jul 12 2017 8:00pm,Wednesday
SmartAsset,Should You Have a Virtual Credit Card?,Jul 10 2017 8:00pm,Monday
FierceRetail,| 07.06.17 | E-commerce sites 'disturbingly slow'; Gemalto introduces credit card kiosks,Jul 6 2017 1:05pm,Thursday
